date;timeStamp;rawPd1;rawPd2;rosa1530pd;ntc_1530;ntc_1310;opCode;cur_1530;cur_1310;metadata;app_session_counter;device_config;intpl_ntc_1530;intpl_ntc_1310;intpl_rawPd1;intpl_rawPd2
2025-03-26 06:36:33.950489998+01:00;1742967393.95049;-0.354964775438878;-0.1147598164987345;-0.0085800896382438;;;;;;;;;44.99981;24.99891;-0.355;-0.115
2025-03-26 06:36:33.988477945+01:00;1742967393.988478;-0.3549665635784344;-0.1041460161383171;-0.0086146603363347;;;;;;;;;44.99986;24.99885;-0.355;-0.104
2025-03-26 06:36:34.020080328+01:00;1742967394.0200803;-0.3549784845088106;-0.1070535310570634;-0.0086295614993049;;;;;;;;;44.9999;24.9988;-0.355;-0.107
2025-03-26 06:36:34.021958828+01:00;1742967394.0219588;;;;44.9999;24.9988;;-0.0719;0.0556;;;;44.9999;24.9988;-0.355;-0.108
2025-03-26 06:36:34.040345430+01:00;1742967394.0403454;-0.3550452417189171;-0.1141029732350079;-0.0086522112670196;;;;;;;;;44.99992;24.99879;-0.355;-0.114
2025-03-26 06:36:34.060576200+01:00;1742967394.0605762;-0.3550130552069014;-0.1143247025400045;-0.0086671124299898;;;;;;;;;44.99994;24.99878;-0.355;-0.114
2025-03-26 06:36:34.080785036+01:00;1742967394.080785;-0.3550190156720895;-0.1143568890520202;-0.0086867819651105;;;;;;;;;44.99996;24.99876;-0.355;-0.114
2025-03-26 06:36:34.100987911+01:00;1742967394.100988;-0.3549689477645096;-0.1143348353308243;-0.008697510802449;;;;;;;;;44.99997;24.99875;-0.355;-0.114
2025-03-26 06:36:34.121271372+01:00;1742967394.1212714;-0.354952258461983;-0.1146423953345293;-0.0087237368492766;;;;;;;;;44.99999;24.99874;-0.355;-0.115
2025-03-26 06:36:34.141513109+01:00;1742967394.141513;-0.353410882164345;-0.1143157618422224;-0.0087219487097202;;;;;;;;;45.00001;24.99873;-0.353;-0.114
2025-03-26 06:36:34.161752224+01:00;1742967394.1617522;-0.3547275489243923;-0.1144021885874496;-0.0087279091749083;;;;;;;;;45.00003;24.99871;-0.355;-0.114
2025-03-26 06:36:34.181993008+01:00;1742967394.181993;-0.3550094789277886;-0.114344968121644;-0.0087445984774349;;;;;;;;;45.00005;24.9987;-0.355;-0.114
2025-03-26 06:36:34.202579975+01:00;1742967394.20258;-0.35502378404424;-0.1143992083548555;-0.0087398301052844;;;;;;;;;45.00007;24.99869;-0.355;-0.114
2025-03-26 06:36:34.223566294+01:00;1742967394.2235663;-0.3552508777679059;-0.1137411729980913;-0.0087523470821794;;;;;;;;;45.00009;24.99867;-0.355;-0.114
2025-03-26 06:36:34.244252205+01:00;1742967394.2442522;-0.3551769679995737;-0.1181256911904443;-0.0087648640590744;;;;;;;;;45.00011;24.99866;-0.355;-0.118
2025-03-26 06:36:34.265000343+01:00;1742967394.2650003;-0.3550261682303152;-0.1373201772356244;-0.0087708245242624;;;;;;;;;45.00013;24.99865;-0.355;-0.137
2025-03-26 06:36:34.288327217+01:00;1742967394.2883272;-0.3550458377654359;-0.1328671136936084;-0.0087684403381872;;;;;;;;;45.00015;24.99863;-0.355;-0.133
2025-03-26 06:36:34.322860956+01:00;1742967394.322861;-0.3553140586988996;-0.104870212658669;-0.0087744008033753;;;;;;;;;45.00018;24.99861;-0.355;-0.105
2025-03-26 06:36:34.342355251+01:00;1742967394.3423553;;;;45.0002;24.9986;;-0.0719;0.0556;;;;45.0002;24.9986;-0.355;-0.121
2025-03-26 06:36:34.348434448+01:00;1742967394.3484344;-0.3555387682364903;-0.1265722664084752;-0.0087910901059019;;;;;;;;;45.00021;24.99949;-0.356;-0.127
2025-03-26 06:36:34.368722916+01:00;1742967394.368723;-0.3507304609692646;-0.1132601634574131;-0.0087797652220446;;;;;;;;;45.00025;25.00244;-0.351;-0.113
2025-03-26 06:36:34.389341354+01:00;1742967394.3893414;-0.3555566496320545;-0.1143163578887412;-0.0087827454546386;;;;;;;;;45.00029;25.00544;-0.356;-0.114
2025-03-26 06:36:34.410140514+01:00;1742967394.4101405;-0.3552544540470188;-0.1201117181911132;-0.0087738047568565;;;;;;;;;45.00033;25.00847;-0.355;-0.12
2025-03-26 06:36:34.431369305+01:00;1742967394.4313693;-0.3552520698609435;-0.1337164799829101;-0.0087738047568565;;;;;;;;;45.00037;25.01157;-0.355;-0.134
2025-03-26 06:36:34.451787949+01:00;1742967394.451788;-0.3549170917173733;-0.1207292223845985;-0.0099170219799306;;;;;;;;;45.00041;25.01454;-0.355;-0.121
2025-03-26 06:36:34.472327232+01:00;1742967394.4723272;-0.3550130552069014;-0.2421170761724801;-0.0122088208447481;;;;;;;;;45.00044;25.01753;-0.355;-0.242
2025-03-26 06:36:34.492948294+01:00;1742967394.4929483;-0.3554499573051878;-0.365175648352581;-0.0141561048216944;;;;;;;;;45.00048;25.02054;-0.355;-0.365
2025-03-26 06:36:34.513593912+01:00;1742967394.513594;-0.3550273603233528;-0.438151411789824;-0.0157505292595063;;;;;;;;;45.00052;25.02354;-0.355;-0.438
2025-03-26 06:36:34.534176826+01:00;1742967394.5341768;-0.3551775640460925;-0.5451793128465787;-0.0170201083445678;;;;;;;;;45.00056;25.02654;-0.355;-0.545
2025-03-26 06:36:34.554778576+01:00;1742967394.5547786;-0.3551221317198433;-0.6078822145321625;-0.0180631897524821;;;;;;;;;45.0006;25.02954;-0.355;-0.608
2025-03-26 06:36:34.575096846+01:00;1742967394.5750968;-0.3548396056699283;-0.6507182896993505;-0.018768908830751;;;;;;;;;45.00064;25.0325;-0.355;-0.651
2025-03-26 06:36:34.602400303+01:00;1742967394.6024003;-0.3549153035778169;-0.6903774369212909;-0.0194829725602832;;;;;;;;;45.00069;25.03648;-0.355;-0.69
2025-03-26 06:36:34.629174948+01:00;1742967394.629175;-0.354890269624027;-0.725612726880637;-0.0200116658224661;;;;;;;;;45.00074;25.04038;-0.355;-0.726
2025-03-26 06:36:34.660175800+01:00;1742967394.6601758;-0.3497314870037421;-0.7325882592902493;-0.0204277062925942;;;;;;;;;45.0008;25.0449;-0.35;-0.733
2025-03-26 06:36:34.661565781+01:00;1742967394.6615658;;;;45.0008;25.0451;;-0.0719;0.0555;;;;45.0008;25.0451;-0.35;-0.734
2025-03-26 06:36:34.680952311+01:00;1742967394.6809523;-0.3548700040423875;-0.75390288280283;-0.020633342341583;;;;;;;;;45.00126;25.08039;-0.355;-0.754
2025-03-26 06:36:34.701931715+01:00;1742967394.7019317;-0.3547448342734378;-0.7610023928883544;-0.0207895065295108;;;;;;;;;45.00175;25.11858;-0.355;-0.761
2025-03-26 06:36:34.722188234+01:00;1742967394.7221882;-0.3545159524102154;-0.7631714061702974;-0.0208771253677756;;;;;;;;;45.00223;25.15545;-0.355;-0.763
2025-03-26 06:36:34.742462635+01:00;1742967394.7424626;-0.3544968789216136;-0.7680101118099822;-0.0209850097876798;;;;;;;;;45.0027;25.19236;-0.354;-0.768
2025-03-26 06:36:34.762687206+01:00;1742967394.7626872;-0.3544742291538988;-0.7729060379154727;-0.021102430951885;;;;;;;;;45.00318;25.22918;-0.354;-0.773
2025-03-26 06:36:34.782900095+01:00;1742967394.7829;-0.3544974749681324;-0.7785321210065033;-0.0211668039759163;;;;;;;;;45.00366;25.26597;-0.354;-0.779
2025-03-26 06:36:34.803131580+01:00;1742967394.8031316;-0.3544712489213048;-0.7837028245571642;-0.0212222363021655;;;;;;;;;45.00413;25.3028;-0.354;-0.784
2025-03-26 06:36:34.823393583+01:00;1742967394.8233936;-0.3545165484567342;-0.787376855299098;-0.0212436939768426;;;;;;;;;45.00461;25.33968;-0.355;-0.787
2025-03-26 06:36:34.843667030+01:00;1742967394.843667;-0.3545010512472452;-0.7932491056023963;-0.0212693239771513;;;;;;;;;45.00509;25.37659;-0.355;-0.793
2025-03-26 06:36:34.864396811+01:00;1742967394.8643968;-0.3512901486504255;-0.7987380979941008;-0.0213235642103629;;;;;;;;;45.00558;25.41432;-0.351;-0.799
2025-03-26 06:36:34.885226250+01:00;1742967394.8852262;-0.3545320456662232;-0.812003113270177;-0.0213629032806042;;;;;;;;;45.00607;25.45224;-0.355;-0.812
2025-03-26 06:36:34.905829430+01:00;1742967394.9058294;-0.3545004552007264;-0.814240671901783;-0.0213712479318675;;;;;;;;;45.00655;25.48974;-0.355;-0.814
2025-03-26 06:36:34.939205170+01:00;1742967394.9392052;-0.3545386021779301;-0.8077723750796765;-0.0214087988625525;;;;;;;;;45.00734;25.5505;-0.355;-0.808
2025-03-26 06:36:34.970418692+01:00;1742967394.9704187;-0.3548253005534769;-0.8187253259092958;-0.0214737679331026;;;;;;;;;45.00807;25.60732;-0.355;-0.819
2025-03-26 06:36:34.980133295+01:00;1742967394.9801333;;;;45.0083;25.625;;-0.0718;0.0543;;;;45.0083;25.625;-0.355;-0.818
2025-03-26 06:36:34.990669966+01:00;1742967394.99067;-0.3545427745035618;-0.81789801334119;-0.0214779402587342;;;;;;;;;45.00871;25.64452;-0.355;-0.818
2025-03-26 06:36:35.011115313+01:00;1742967395.0111153;-0.3545415824105242;-0.8202321315088429;-0.0214773442122154;;;;;;;;;45.00949;25.6824;-0.355;-0.82
2025-03-26 06:36:35.031357287+01:00;1742967395.0313573;-0.3544944947355383;-0.8174271365913316;-0.0214767481656966;;;;;;;;;45.01028;25.7199;-0.354;-0.817
2025-03-26 06:36:35.051580906+01:00;1742967395.051581;-0.3544813817121245;-0.8138532416645576;-0.0214713837470273;;;;;;;;;45.01105;25.75736;-0.354;-0.814
2025-03-26 06:36:35.071793079+01:00;1742967395.071793;-0.3545642321782389;-0.8183140538113182;-0.021494033514742;;;;;;;;;45.01183;25.79481;-0.355;-0.818
2025-03-26 06:36:35.092007160+01:00;1742967395.0920072;-0.3545290654336292;-0.820927717796292;-0.021506550491637;;;;;;;;;45.01261;25.83225;-0.355;-0.821
2025-03-26 06:36:35.112395287+01:00;1742967395.1123953;-0.3545517152013439;-0.8230943468921598;-0.0215059544451182;;;;;;;;;45.0134;25.87002;-0.355;-0.823
2025-03-26 06:36:35.132640600+01:00;1742967395.1326406;-0.3545117800845838;-0.8256454259926589;-0.0214999939799301;;;;;;;;;45.01418;25.90753;-0.355;-0.826
2025-03-26 06:36:35.152852297+01:00;1742967395.1528523;-0.3544694607817484;-0.8304859197719001;-0.0214958216542985;;;;;;;;;45.01496;25.94497;-0.354;-0.83
2025-03-26 06:36:35.173092365+01:00;1742967395.1730924;-0.3545105879915461;-0.8318890132771746;-0.0214982058403737;;;;;;;;;45.01574;25.98247;-0.355;-0.832
2025-03-26 06:36:35.193306923+01:00;1742967395.193307;-0.3545099919450273;-0.8314384021089556;-0.0214874770030351;;;;;;;;;45.01652;26.01992;-0.355;-0.831
2025-03-26 06:36:35.213746071+01:00;1742967395.213746;-0.354368132873551;-0.8329696456157739;-0.0214743639796214;;;;;;;;;45.01731;26.05778;-0.354;-0.833
2025-03-26 06:36:35.242495537+01:00;1742967395.2424955;-0.3545147603171778;-0.8327228823569873;-0.0214743639796214;;;;;;;;;45.01842;26.11104;-0.355;-0.833
2025-03-26 06:36:35.268676281+01:00;1742967395.2686763;-0.3545308535731856;-0.830582479307947;-0.0214791323517718;;;;;;;;;45.01943;26.15955;-0.355;-0.831
